BoroCT2010,count
2021700,936
2021800,867
2021900,796
2022000,627
2022101,1565
2022102,751
2022200,773
2022300,1261
2022401,744
2022403,772
2022404,565
2022500,1231
2022701,925
2022702,484
2022703,831
2022800,438
2022901,1200
2022902,760
2023000,698
2023100,1062
2023200,419
2023301,1184
2023302,1424
2023501,844
2023502,434
2023600,704
2023702,1679
2023703,1622
2023704,2043
2023800,303
2023900,1367
2024000,732
2024100,1444
2024300,998
2024400,431
2024501,589
2024502,599
2024600,234
2024700,191
2024800,425
2024900,121
2025000,260
2025100,1073
2025200,153
2025300,2121
2025400,259
2025500,1158
2025600,243
2025700,386
2026100,173
2026300,1092
2026400,823
2026500,933
2026601,504
2026602,728
2026701,846
2026702,1092
2026900,387
2027300,1122
2027401,334
2027402,295
2027600,40
2027700,836
2027900,665
2028100,405
2028300,552
2028400,179
2028500,916
2028600,565
2028700,539
2028800,300
2028900,1182
2029301,133
2029302,225
2029500,456
2029600,726
2029700,482
2030000,727
2030100,222
2030200,1860
2030701,209
2030900,19
2031000,681
2031200,187
2031400,141
2031600,165
2031800,220
2031900,90
2032300,281
2032400,676
2032600,266
2032800,617
2033000,727
2033201,524
2033202,823
2033400,16
2033500,69
2033600,1106
2033700,209
2033800,1156
2034000,573
2034200,409
2034300,311
2034400,272
2034500,314
2034800,633
2035000,614
2035100,361
2035600,949
2035800,717
2035900,684
2036000,413
2036100,1827
2036300,1386
2036400,778
2036501,1027
2036502,1084
2036700,599
2036800,539
2036901,1464
2036902,602
2037000,467
2037100,921
2037200,283
2037300,907
2037400,682
2037504,1170
2037600,275
2037800,793
2037900,1199
2038000,1030
2038100,1097
2038200,309
2038301,1172
2038302,1287
2038500,1523
2038600,822
2038700,1437
2038800,332
2038900,1403
2039000,583
2039100,1284
2039200,762
2039300,2078
2039400,953
2039500,1293
2039600,576
2039700,105
2039800,435
2039901,2819
2039902,1537
2040100,1247
2040302,844
2040303,508
2040304,1486
2040400,587
2040501,683
2040502,1376
2040600,688
2040701,880
2040702,703
2040800,879
2040900,79
2041100,784
2041300,794
2041400,685
2041500,740
2041800,765
2041900,1008
2042000,1174
2042100,2131
2042200,469
2042300,500
2042400,274
2042500,1864
2042600,631
2042800,266
2042901,429
2042902,1208
2043000,289
2043100,1398
2043400,703
2043500,131
2043600,256
2044200,806
2044400,349
2044800,191
2044901,189
2044902,281
2045101,193
2045102,152
2045600,282
2045800,1647
2046000,569
2046201,1524
2046202,1381
2048400,1113
2050400,106
2051600,474
3000100,504
3000200,462
3000301,167
3000501,187
3000502,513
3000700,345
3000900,1493
3001100,2123
3001300,401
3001500,1846
3001800,76
3002000,688
3002100,665
3002200,611
3002300,1367
3002901,1222
3003000,286
3003100,244
3003300,1186
3003400,176
3003500,2846
3003600,396
3003700,3313
3003800,145
3003900,678
3004100,419
3004300,759
3004400,165
3004500,362
3004600,155
3004700,134
3004900,257
3005000,101
3005100,287
3005201,156
3005202,163
3005300,836
3005400,160
3005601,118
3005602,169
3005800,687
3005900,372
3006000,495
3006200,402
3006300,278
3006400,465
3006500,634
3006600,497
3006700,387
3006800,661
3006900,683
3007000,535
3007100,964
3007200,321
3007400,816
3007500,631
3007600,553
3007700,547
3007800,708
3008000,569
3008200,602
3008400,1163
3008500,1703
3008600,301
3008800,317
3009000,329
3009200,343
3009400,344
3009600,503
3009800,635
3010000,625
3010100,633
3010200,547
3010400,753
3010600,506
3010800,444
3011000,255
3011200,571
3011400,496
3011600,368
3011700,684
3011800,429
3011900,258
3012000,343
3012100,524
3012200,450
3012600,384
3012700,827
3012801,316
3012901,617
3012902,535
3013000,660
3013100,502
3013200,212
3013300,527
3013400,370
3013500,392
3013600,420
3013700,512
3013800,1185
3013900,432
3014000,293
3014100,368
3014200,364
3014300,348
3014500,525
3014700,279
3014800,119
3014900,487
3015000,133
3015100,300
3015200,171
3015300,344
3015500,308
3015700,334
3015900,581
3016000,712
3016100,429
3016200,305
3016300,440
3016400,15
3016500,250
3016600,123
3016700,288
3016800,205
3016900,329
3017000,234
3017100,174
3017200,302
3017400,168
3017600,215
3017700,26
3017800,304
3017900,545
3018000,199
3018100,507
3018200,356
3018300,446
3018400,165
3018501,1102
3018600,89
3018700,657
3018800,173
3019000,372
3019100,548
3019200,395
3019300,422
3019400,281
3019500,553
3019600,380
3019700,571
3019800,144
3019900,670
3020000,187
3020100,669
3020200,105
3020300,496
3020400,127
3020500,270
3020600,136
3020700,239
3020800,180
3021000,215
3021100,298
3021200,479
3021300,708
3021400,220
3021500,730
3021600,119
3021700,1206
3021800,161
3021900,767
3022000,318
3022100,1197
3022200,262
3022400,336
3022600,466
3022700,1345
3022800,170
3022900,485
3023000,181
3023100,418
3023200,142
3023300,1397
3023400,219
3023500,654
3023600,122
3023800,109
3024000,155
3024100,870
3024200,236
3024300,581
3024400,180
3024500,789
3024600,219
3024700,1667
3024800,321
3024900,557
3025000,364
3025100,1244
3025200,321
3025300,697
3025400,230
3025500,1388
3025600,172
3025700,341
3025800,206
3025901,639
3025902,919
3026000,325
3026100,659
3026200,326
3026300,829
3026400,331
3026500,737
3026600,218
3026700,556
3026800,173
3026900,1402
3027000,321
3027100,758
3027200,196
3027300,643
3027400,289
3027500,790
3027600,353
3027700,1177
3027800,437
3027900,774
3028000,164
3028100,1135
3028200,347
3028300,968
3028400,546
3028501,1307
3028502,706
3028600,474
3028700,1600
3028800,421
3028900,690
3029000,486
3029100,630
3029200,430
3029300,735
3029400,539
3029500,804
3029600,632
3029700,1506
3029800,271
3029900,1361
3030000,418
3030100,647
3030200,224
3030300,1143
3030400,389
3030500,679
3030600,724
3030700,1349
3030800,58
3030900,1042
3031100,1236
3031300,763
3031400,455
3031500,855
3031701,793
3031702,928
3031900,738
3032100,1001
3032300,568
3032500,1025
3032600,2762
3032700,1457
3032800,563
3032900,1183
3033000,980
3033100,655
3033300,204
3033500,230
3033600,406
3033700,423
3033900,460
3034000,609
3034100,807
3034200,1214
3034300,1119
3034500,808
3034700,1560
3034800,957
3034900,2235
3035000,1415
3035100,1048
3035200,546
3035300,1491
3035400,713
3035500,1156
3035601,560
3035602,498
3035700,865
3035900,1703
3036001,311
3036002,699
3036100,1075
3036200,453
3036300,1147
3036400,505
3036501,1119
3036502,723
3036600,318
3036700,1807
3036900,1670
3037000,238
3037100,757
3037300,1320
3037401,472
3037402,401
3037500,1293
3037700,977
3037900,1409
3038100,802
3038200,890
3038300,769
3038500,865
3038600,439
3038700,1130
3038800,344
3038900,738
3039000,186
3039100,408
3039200,158
3039300,880
3039400,162
3039500,861
3039600,200
3039700,820
3039800,255
3039900,449
3040000,345
3040100,902
3040200,546
3040300,781
3040400,182
3040500,413
3040600,317
3040800,208
3040900,561
3041000,156
3041100,412
3041200,335
3041300,574
3041401,194
3041402,128
3041500,539
3041600,145
3041700,498
3041800,236
3041900,657
3042000,179
3042100,522
3042200,302
3042300,636
3042400,276
3042500,615
3042600,375
3042700,793
3042800,286
3042900,1035
3043000,473
3043100,1114
3043200,519
3043300,915
3043400,316
3043500,541
3043600,383
3043700,715
3043800,232
3043900,941
3044000,185
3044100,1023
3044200,206
3044300,610
3044400,128
3044500,556
3044600,276
3044700,626
3044800,141
3044900,141
3045000,63
3045200,160
3045300,590
3045400,212
3045600,210
3045800,115
3046000,428
3046201,190
3046202,156
3046400,313
3046800,135
3047000,147
3047200,114
3047400,110
3047600,152
3047700,749
3047800,374
3048000,517
3048100,901
3048200,402
3048400,358
3048500,684
3048600,270
3048800,217
3048900,1852
3049000,465
3049100,1482
3049200,495
3049300,1252
3049400,414
3049500,947
3049600,498
3049700,430
3049800,135
3049900,451
3050000,278
3050100,659
3050202,223
3050300,507
3050400,504
3050500,902
3050600,374
3050700,385
3050801,1024
3050803,998
3050804,935
3050900,512
3051001,1549
3051002,1054
3051100,913
3051200,695
3051300,732
3051400,617
3051500,313
3051601,727
3051602,864
3051700,572
3051800,446
3051900,661
3052000,535
3052300,1316
3052500,999
3052600,372
3052700,849
3052800,192
3052900,319
3053000,188
3053100,221
3053200,261
3053300,162
3053400,421
3053500,249
3053700,262
3053800,418
3053900,143
3054200,405
3054300,23
3054400,182
