BoroCT2010,count
1000100,1
1000201,1261
1000202,792
1000500,6
1000600,1880
1000700,1295
1000800,1385
1000900,791
1001001,491
1001002,1051
1001200,998
1001300,4313
1001401,1190
1001402,1868
1001501,968
1001502,1480
1001600,1513
1001800,1974
1002000,1695
1002100,2696
1002201,1667
1002202,911
1002400,1683
1002500,907
1002601,995
1002602,1536
1002700,1357
1002800,1267
1002900,973
1003001,2134
1003002,1435
1003100,1624
1003200,1810
1003300,1294
1003400,2163
1003601,1628
1003602,1873
1003700,1314
1003800,1934
1003900,622
1004000,1862
1004100,2104
1004200,2270
1004300,2914
1004400,638
1004500,4577
1004700,2417
1004800,1765
1004900,2980
1005000,1843
1005200,3335
1005400,3020
1005501,1696
1005502,1380
1005600,1608
1005700,2353
1005800,2573
1005900,847
1006000,501
1006100,3915
1006200,1238
1006300,1509
1006400,1665
1006500,3275
1006600,1764
1006700,1513
1006800,1846
1006900,775
1007000,1339
1007100,1363
1007200,1999
1007300,2789
1007400,2263
1007500,805
1007600,5961
1007700,1315
1007800,541
1007900,2111
1008000,1321
1008100,2183
1008200,1520
1008300,2840
1008400,2021
1008601,316
1008602,130
1008603,270
1008700,1413
1008800,888
1008900,1707
1009000,976
1009100,2030
1009200,1857
1009300,2168
1009400,1381
1009500,2020
1009600,2147
1009700,1099
1009800,1114
1009900,1918
1010000,1499
1010100,4958
1010200,1495
1010300,1105
1010400,2769
1010601,574
1010602,503
1010800,809
1010900,10589
1011000,829
1011100,2557
1011201,1388
1011202,1748
1011203,1918
1011300,5491
1011401,751
1011402,1968
1011500,2667
1011600,523
1011700,639
1011800,761
1011900,4313
1012000,1137
1012100,4096
1012200,503
1012400,768
1012500,3242
1012600,690
1012700,2340
1012800,836
1012900,1426
1013000,500
1013100,1942
1013200,707
1013300,1903
1013400,1155
1013500,1233
1013600,754
1013700,1964
1013800,937
1013900,1366
1014000,689
1014200,385
1014300,291
1014401,600
1014402,438
1014500,1697
1014601,691
1014602,726
1014700,1375
1014801,2142
1014802,738
1014900,2050
1015001,331
1015002,314
1015100,813
1015200,812
1015300,1713
1015400,761
1015500,588
1015601,866
1015602,875
1015700,1392
1015801,747
1015802,1162
1015900,1763
1016001,304
1016002,717
1016100,1106
1016200,2442
1016300,818
1016400,2438
1016500,1141
1016600,2540
1016700,1203
1016800,1558
1016900,1341
1017000,1240
1017100,1024
1017200,3235
1017300,1461
1017401,1473
1017402,1685
1017500,956
1017700,1553
1017800,1828
1017900,1020
1018000,2491
1018100,1091
1018200,4321
1018300,2031
1018400,2384
1018500,1657
1018600,2678
1018700,1214
1018800,2295
1018900,3101
1019000,2210
1019100,1274
1019200,1963
1019300,2059
1019400,2266
1019500,1371
1019600,6581
1019701,317
1019702,1047
1019800,1509
1019900,1314
1020000,1999
1020101,397
1020102,1389
1020300,355
1020500,235
1020600,2246
1020701,478
1020800,2162
1020901,2552
1021000,2112
1021100,1905
1021200,1932
1021303,1934
1021400,1747
1021500,2082
1021600,2286
1021703,1161
1021800,1803
1021900,2290
1022000,1350
1022102,1219
1022200,3863
1022301,2736
1022302,1120
1022400,2094
1022500,1527
1022600,1703
1022700,1939
1022800,1916
1022900,3264
1023000,2172
1023100,2568
1023200,2538
1023300,1855
1023400,1600
1023501,1503
1023502,1901
1023600,882
1023700,1861
1023801,215
1023802,169
1023900,1856
1024000,1545
1024100,1568
1024200,1060
1024301,1553
1024302,2772
1024500,2135
1024700,1172
1024900,1046
1025100,1604
1025300,1851
1025500,441
1025700,2003
1025900,2777
1026100,2453
1026300,1837
1026500,1048
1026700,385
1026900,1651
1027100,2068
1027300,511
1027500,101
1027700,1508
1027900,1420
1028100,609
1028300,863
1028500,1398
1028700,359
1029100,2650
1029300,2058
1029500,1216
1029900,575
1030300,769
1030700,627
1030900,3290
1031100,320
1031703,382
1031704,445
1031900,817
2000100,1079
2000200,890
2000400,630
2001600,1538
2001900,605
2002000,2621
2002300,3309
2002400,236
2002500,2575
2002701,1698
2002702,2056
2002800,1130
2003100,1004
2003300,846
2003500,830
2003700,613
2003800,1239
2003900,2795
2004001,1779
2004100,2159
2004200,2499
2004300,4408
2004400,1021
2004600,2492
2004800,2431
2005001,1977
2005002,1987
2005100,2924
2005200,1019
2005300,1499
2005400,1571
2005600,1124
2005902,1414
2006000,620
2006100,1312
2006200,2374
2006300,2051
2006400,1177
2006500,3965
2006700,3066
2006800,1517
2006900,1776
2007000,1317
2007100,2177
2007200,1736
2007300,2693
2007400,758
2007500,1408
2007600,1477
2007700,1862
2007800,1483
2007900,2206
2008300,1638
2008400,1324
2008500,2448
2008600,2046
2008700,1672
2008900,1939
2009000,815
2009200,1622
2009300,1535
2009600,821
2009800,1013
2011000,112
2011502,3576
2011700,2618
2011800,200
2011900,1863
2012101,789
2012102,965
2012300,795
2012500,1439
2012701,1822
2012901,1921
2013000,540
2013100,1683
2013200,799
2013300,2420
2013500,1882
2013800,522
2014100,1378
2014300,596
2014400,1587
2014500,1845
2014701,1555
2014702,1354
2014900,1593
2015100,1605
2015200,482
2015300,1106
2015500,1454
2015700,1137
2015800,590
2015900,2241
2016000,458
2016100,1999
2016200,345
2016300,281
2016400,610
2016500,878
2016600,411
2016700,611
2016900,797
2017100,454
2017300,2083
2017500,2348
2017701,2439
2017702,2867
2017901,2151
2017902,1525
2018101,1347
2018102,1594
2018301,1927
2018302,1286
2018400,617
2018500,2200
2018900,2520
2019300,1851
2019400,458
2019500,2865
2019700,1927
2019900,2308
2020000,1225
2020100,975
2020200,992
2020400,792
2020501,1161
2020502,609
2020601,783
2020900,1122
2021001,1061
2021002,606
2021100,1437
2021200,1063
2021301,1173
2021302,1106
2021501,1036
2021502,1044
2021601,2347
2021602,1502
2021700,1497
2021800,1155
2021900,1046
2022000,766
2022101,1579
2022102,1466
2022200,1235
2022300,2023
2022401,986
2022403,1213
2022404,780
2022500,2113
2022701,1261
2022702,828
2022703,1247
2022800,636
2022901,1544
2022902,1191
2023000,965
2023100,1296
2023200,631
2023301,1826
2023302,1949
2023501,1355
2023502,524
2023600,910
2023702,2261
2023703,2615
2023704,3236
2023800,460
2023900,2157
2024000,1172
2024100,2128
2024300,1826
2024400,494
2024501,1086
2024502,1126
2024600,321
2024700,212
2024800,628
2024900,217
2025000,362
2025100,1864
2025200,313
2025300,3023
2025400,399
2025500,1714
2025600,389
2025700,518
2026100,251
2026300,1588
2026400,1316
2026500,1273
2026601,791
2026602,1036
2026701,1510
2026702,1506
2026900,656
2027300,1795
2027401,452
2027402,384
2027600,43
2027700,1444
2027900,1036
2028100,578
2028300,727
2028400,248
2028500,1169
2028600,747
2028700,565
2028800,432
2028900,1680
2029301,156
2029302,364
2029500,613
2029600,816
2029700,756
2030000,895
2030100,251
2030200,1906
2030701,329
2030900,15
2031000,916
2031200,284
2031400,167
2031600,204
2031800,258
2031900,137
2032300,341
2032400,961
2032600,405
2032800,955
2033000,963
2033201,790
2033202,1101
2033400,13
2033500,112
2033600,1584
2033700,283
2033800,1390
2034000,824
2034200,449
2034300,493
2034400,450
2034500,469
2034800,987
2035000,770
2035100,526
2035600,1577
2035800,982
2035900,965
2036000,603
2036100,2247
2036300,1775
2036400,1109
2036501,1356
2036502,1323
2036700,624
2036800,666
2036901,2090
2036902,839
2037000,544
2037100,1175
2037200,454
2037300,1059
2037400,856
2037504,1607
2037600,575
2037800,1106
2037900,1691
2038000,1496
2038100,1515
2038200,454
2038301,1882
2038302,1770
2038500,1859
2038600,1127
2038700,2124
2038800,498
2038900,2007
2039000,892
2039100,1643
2039200,981
2039300,2605
2039400,1093
2039500,1656
2039600,802
2039700,126
2039800,557
2039901,4255
2039902,1827
2040100,2014
2040302,1045
2040303,691
2040304,2054
2040400,730
2040501,897
2040502,1895
2040600,903
2040701,1218
2040702,1026
2040800,1336
2040900,74
2041100,1019
2041300,1122
2041400,974
2041500,1162
2041800,879
2041900,1463
2042000,1294
2042100,2957
2042200,723
2042300,770
2042400,415
2042500,1844
2042600,848
2042800,341
2042901,649
2042902,1557
2043000,425
2043100,1873
2043400,869
2043500,160
2043600,327
2044200,1140
2044400,589
2044800,343
2044901,272
2044902,402
2045101,294
2045102,227
2045600,400
2045800,1795
2046000,900
2046201,2356
2046202,1893
2048400,1533
2050400,160
2051600,771
3000100,869
3000200,539
3000301,167
3000501,318
3000502,708
3000700,561
3000900,1745
3001100,3223
3001300,677
3001500,1840
3001800,94
3002000,788
3002100,975
3002200,826
3002300,2067
3002901,1406
3003000,381
3003100,324
3003300,1511
3003400,255
3003500,4265
3003600,556
3003700,4233
3003800,255
3003900,1148
3004100,619
3004300,1073
3004400,218
3004500,618
3004600,258
3004700,212
3004900,340
3005000,181
3005100,388
3005201,243
3005202,229
3005300,1277
3005400,203
3005601,225
3005602,211
3005800,757
3005900,575
3006000,703
3006200,637
3006300,357
3006400,650
3006500,898
3006600,704
3006700,600
3006800,855
3006900,995
3007000,646
3007100,1256
3007200,357
3007400,1039
3007500,925
3007600,827
3007700,682
3007800,919
3008000,800
3008200,828
3008400,1381
3008500,2578
3008600,422
3008800,355
3009000,411
3009200,529
3009400,580
3009600,740
3009800,923
3010000,931
3010100,843
3010200,700
3010400,829
3010600,671
3010800,603
3011000,393
3011200,782
3011400,739
3011600,504
3011700,853
3011800,504
3011900,240
3012000,469
3012100,683
3012200,523
3012600,457
3012700,1007
3012801,533
3012901,754
3012902,559
3013000,819
3013100,693
3013200,372
3013300,667
3013400,501
3013500,594
3013600,599
3013700,729
3013800,1818
3013900,552
3014000,312
3014100,597
3014200,507
3014300,480
3014500,841
3014700,427
3014800,158
3014900,601
3015000,235
3015100,503
3015200,204
3015300,578
3015500,544
3015700,498
3015900,982
3016000,879
3016100,542
3016200,523
3016300,546
3016400,25
3016500,413
3016600,207
3016700,506
3016800,286
3016900,539
3017000,350
3017100,278
3017200,300
3017400,273
3017600,341
3017700,19
3017800,364
3017900,787
3018000,301
3018100,823
3018200,488
3018300,555
3018400,215
3018501,1327
3018600,145
3018700,738
3018800,227
3019000,568
3019100,747
3019200,528
3019300,568
3019400,386
3019500,710
3019600,525
3019700,944
3019800,207
3019900,792
3020000,236
3020100,879
3020200,133
3020300,585
3020400,137
3020500,382
3020600,173
3020700,370
3020800,272
3021000,311
3021100,383
3021200,618
3021300,971
3021400,356
3021500,1148
3021600,164
3021700,1892
3021800,190
3021900,1202
3022000,388
3022100,1561
3022200,350
3022400,526
3022600,654
3022700,1533
3022800,268
3022900,730
3023000,301
3023100,656
3023200,213
3023300,2089
3023400,226
3023500,987
3023600,176
3023800,188
3024000,213
3024100,992
3024200,303
3024300,1140
3024400,292
3024500,1194
3024600,307
3024700,1757
3024800,398
3024900,941
3025000,484
3025100,2111
3025200,443
3025300,988
3025400,329
3025500,2287
3025600,221
3025700,643
3025800,318
3025901,1195
3025902,1450
3026000,487
3026100,1101
3026200,314
3026300,1266
3026400,471
3026500,1156
3026600,327
3026700,805
3026800,287
3026900,2085
3027000,446
3027100,1012
3027200,242
3027300,941
3027400,353
3027500,975
3027600,439
3027700,2020
3027800,663
3027900,1151
3028000,230
3028100,1558
3028200,413
3028300,1466
3028400,614
3028501,1644
3028502,680
3028600,466
3028700,2028
3028800,543
3028900,985
3029000,667
3029100,1106
3029200,433
3029300,1310
3029400,981
3029500,1188
3029600,738
3029700,2000
3029800,389
3029900,1445
3030000,489
3030100,908
3030200,363
3030300,1633
3030400,468
3030500,994
3030600,1019
3030700,1823
3030800,88
3030900,1356
3031100,1822
3031300,841
3031400,484
3031500,1499
3031701,1257
3031702,1251
3031900,1016
3032100,1402
3032300,856
3032500,1277
3032600,3382
3032700,1884
3032800,763
3032900,1488
3033000,1500
3033100,779
3033300,319
3033500,274
3033600,677
3033700,497
3033900,637
3034000,824
3034100,1128
3034200,1411
3034300,1623
3034500,1223
3034700,2219
3034800,1264
3034900,2735
3035000,1348
3035100,1555
3035200,673
3035300,1938
3035400,931
3035500,1616
3035601,700
3035602,752
3035700,1078
3035900,2453
3036001,392
3036002,996
3036100,1374
3036200,558
3036300,1753
3036400,625
3036501,1988
