BoroCT2010,count
2027300,1946
2027401,316
2027402,281
2027600,32
2027700,1176
2027900,879
2028100,483
2028300,547
2028400,136
2028500,836
2028600,559
2028700,386
2028800,296
2028900,1289
2029301,109
2029302,394
2029500,488
2029600,662
2029700,567
2030000,732
2030100,206
2030200,1623
2030701,302
2030900,16
2031000,630
2031200,243
2031400,158
2031600,176
2031800,227
2031900,112
2032300,329
2032400,746
2032600,306
2032800,708
2033000,666
2033201,603
2033202,818
2033400,6
2033500,98
2033600,1067
2033700,213
2033800,1159
2034000,615
2034200,372
2034300,316
2034400,302
2034500,303
2034800,714
2035000,597
2035100,373
2035600,936
2035800,823
2035900,801
2036000,456
2036100,1853
2036300,1629
2036400,881
2036501,1065
2036502,1003
2036700,557
2036800,430
2036901,1724
2036902,724
2037000,373
2037100,1053
2037200,334
2037300,847
2037400,644
2037504,1295
2037600,404
2037800,808
2037900,1384
2038000,1104
2038100,1285
2038200,290
2038301,1603
2038302,1516
2038500,1282
2038600,909
2038700,1603
2038800,372
2038900,1359
2039000,457
2039100,1292
2039200,769
2039300,1854
2039400,799
2039500,1115
2039600,614
2039700,85
2039800,392
2039901,2614
2039902,1490
2040100,1650
2040302,959
2040303,602
2040304,1229
2040400,563
2040501,674
2040502,1305
2040600,767
2040701,817
2040702,737
2040800,1099
2040900,92
2041100,778
2041300,931
2041400,587
2041500,900
2041800,669
2041900,982
2042000,942
2042100,2230
2042200,557
2042300,479
2042400,299
2042500,1461
2042600,680
2042800,281
2042901,502
2042902,1118
2043000,292
2043100,1407
2043400,675
2043500,138
2043600,212
2044200,963
2044400,487
2044800,260
2044901,183
2044902,261
2045101,220
2045102,191
2045600,322
2045800,1607
2046000,622
2046201,1951
2046202,1589
2048400,1205
2050400,98
2051600,646
3000100,700
3000200,485
3000301,145
3000501,295
3000502,526
3000700,435
3000900,1332
3001100,2103
3001300,473
3001500,1451
3001800,73
3002000,652
3002100,636
3002200,654
3002300,1853
3002901,982
3003000,263
3003100,234
3003300,1055
3003400,215
3003500,2774
3003600,440
3003700,3176
3003800,192
3003900,950
3004100,549
3004300,855
3004400,212
3004500,528
3004600,252
3004700,135
3004900,323
3005000,143
3005100,309
3005201,189
3005202,186
3005300,928
3005400,235
3005601,164
3005602,194
3005800,729
3005900,584
3006000,476
3006200,546
3006300,271
3006400,475
3006500,717
3006600,547
3006700,497
3006800,620
3006900,741
3007000,508
3007100,1193
3007200,252
3007400,812
3007500,704
3007600,703
3007700,557
3007800,730
3008000,744
3008200,598
3008400,1040
3008500,2030
3008600,396
3008800,295
3009000,325
3009200,453
3009400,410
3009600,589
3009800,756
3010000,612
3010100,696
3010200,514
3010400,528
3010600,353
3010800,456
3011000,286
3011200,669
3011400,538
3011600,341
3011700,771
3011800,289
3011900,176
3012000,215
3012100,548
3012200,451
3012600,472
3012700,791
3012801,346
3012901,651
3012902,498
3013000,746
3013100,576
3013200,302
3013300,548
3013400,327
3013500,489
3013600,560
3013700,580
3013800,1324
3013900,557
3014000,269
3014100,483
3014200,373
3014300,471
3014500,727
3014700,441
3014800,195
3014900,462
3015000,191
3015100,425
3015200,224
3015300,420
3015500,466
3015700,471
3015900,792
3016000,784
3016100,470
3016200,414
3016300,467
3016400,26
3016500,387
3016600,140
3016700,421
3016800,226
3016900,477
3017000,276
3017100,299
3017200,292
3017400,161
3017600,293
3017700,60
3017800,380
3017900,620
3018000,298
3018100,639
3018200,495
3018300,537
3018400,231
3018501,840
3018600,110
3018700,542
3018800,166
3019000,446
3019100,554
3019200,468
3019300,595
3019400,284
3019500,682
3019600,392
3019700,838
3019800,133
3019900,596
3020000,187
3020100,815
3020200,117
3020300,469
3020400,110
3020500,350
3020600,145
3020700,380
3020800,208
3021000,254
3021100,295
3021200,370
3021300,788
3021400,222
3021500,797
3021600,113
3021700,1471
3021800,179
3021900,974
3022000,394
3022100,1486
3022200,277
3022400,398
3022600,575
3022700,1270
3022800,218
3022900,688
3023000,206
3023100,594
